DrawNumber,DrawDate,P1,P2,P3,P4,P5,P6,S1,S2
4233,2022-02-12T00:00:00,35,36,13,43,37,42,15,5
4235,2022-02-19T00:00:00,34,18,1,5,20,23,35,9
4237,2022-02-26T00:00:00,3,26,23,34,7,16,17,35
4239,2022-03-05T00:00:00,19,40,18,30,16,2,9,28
4241,2022-03-12T00:00:00,35,29,4,41,40,37,27,21
4243,2022-03-19T00:00:00,32,24,43,38,10,34,6,25
4245,2022-03-26T00:00:00,21,13,22,2,33,8,10,27
4247,2022-04-02T00:00:00,6,27,21,1,15,4,41,19
4249,2022-04-09T00:00:00,19,1,40,31,35,8,38,15
4251,2022-04-16T00:00:00,37,15,11,23,14,12,20,42
4253,2022-04-23T00:00:00,33,3,23,45,31,39,17,20
4255,2022-04-30T00:00:00,10,20,8,42,3,36,45,9
4257,2022-05-07T00:00:00,6,45,13,11,17,7,43,23
4259,2022-05-14T00:00:00,20,27,35,39,25,15,9,21
4261,2022-05-21T00:00:00,41,38,23,5,13,9,4,43
4263,2022-05-28T00:00:00,32,17,19,15,33,28,24,2
4265,2022-06-04T00:00:00,23,25,7,13,8,17,42,31
4267,2022-06-11T00:00:00,39,45,21,11,10,19,25,35
4269,2022-06-18T00:00:00,37,11,27,1,22,34,44,43
4271,2022-06-25T00:00:00,25,20,6,16,18,36,33,39
4273,2022-07-02T00:00:00,17,15,10,42,31,37,7,11
4275,2022-07-09T00:00:00,6,23,44,43,37,30,45,1
4277,2022-07-16T00:00:00,23,37,11,8,19,35,42,34
4279,2022-07-23T00:00:00,3,40,38,32,24,20,31,5
4281,2022-07-30T00:00:00,17,21,12,26,8,42,35,13
4283,2022-08-06T00:00:00,15,33,24,39,14,31,40,4
4285,2022-08-13T00:00:00,15,35,29,1,38,20,31,8
4287,2022-08-20T00:00:00,6,34,16,37,42,35,18,40
4289,2022-08-27T00:00:00,2,6,41,3,23,42,39,24
4291,2022-09-03T00:00:00,10,18,39,3,21,6,41,43
4293,2022-09-10T00:00:00,31,45,2,11,8,32,14,41
4295,2022-09-17T00:00:00,4,25,23,7,21,9,6,11
4297,2022-09-24T00:00:00,10,7,14,41,34,5,4,44
4299,2022-10-01T00:00:00,40,25,32,20,30,9,34,35
4301,2022-10-08T00:00:00,37,17,45,20,33,23,18,22
4303,2022-10-15T00:00:00,40,24,12,11,7,5,28,15
4305,2022-10-22T00:00:00,7,17,41,21,35,24,23,5
4307,2022-10-29T00:00:00,7,9,42,6,22,3,16,13
4309,2022-11-05T00:00:00,45,26,19,29,39,12,15,13
4311,2022-11-12T00:00:00,12,6,3,18,35,31,34,9
4313,2022-11-19T00:00:00,43,31,23,9,14,12,13,29
4315,2022-11-26T00:00:00,31,14,29,12,45,22,36,11
4317,2022-12-03T00:00:00,39,4,15,12,10,8,45,37
4319,2022-12-10T00:00:00,24,44,14,35,22,6,39,10
4321,2022-12-17T00:00:00,8,36,37,41,3,28,9,16
4323,2022-12-24T00:00:00,4,32,8,39,7,24,34,17
4325,2022-12-31T00:00:00,11,23,35,42,20,45,8,38
4327,2023-01-07T00:00:00,38,17,18,2,11,9,41,37
4329,2023-01-14T00:00:00,39,30,37,45,11,19,3,21
4331,2023-01-21T00:00:00,11,9,23,32,10,40,17,5
4333,2023-01-28T00:00:00,24,27,44,39,30,7,5,38
4335,2023-02-04T00:00:00,45,11,34,27,31,39,5,28
4337,2023-02-11T00:00:00,4,21,7,20,22,19,16,17
4339,2023-02-18T00:00:00,16,24,34,30,11,8,21,18
4341,2023-02-25T00:00:00,13,12,45,15,4,29,27,2
4343,2023-03-04T00:00:00,32,34,33,13,9,1,8,15
4345,2023-03-11T00:00:00,9,4,42,10,29,1,17,7
4347,2023-03-18T00:00:00,6,44,21,1,43,15,34,42
4349,2023-03-25T00:00:00,9,14,39,42,8,10,12,31
4351,2023-04-01T00:00:00,10,39,36,25,45,5,40,8
4353,2023-04-08T00:00:00,9,40,13,11,6,4,20,18
4355,2023-04-15T00:00:00,23,4,16,31,39,43,17,18
4357,2023-04-22T00:00:00,32,4,38,41,34,29,27,11
4359,2023-04-29T00:00:00,4,18,15,16,45,35,17,11
4361,2023-05-06T00:00:00,17,35,30,13,2,8,34,5
4363,2023-05-13T00:00:00,33,23,24,36,22,6,18,34
4365,2023-05-20T00:00:00,8,2,25,32,12,11,16,22
4367,2023-05-27T00:00:00,28,37,7,8,34,22,1,23
4369,2023-06-03T00:00:00,41,37,26,1,12,24,25,45
4371,2023-06-10T00:00:00,42,23,43,12,2,11,7,44
4373,2023-06-17T00:00:00,27,39,36,8,41,24,22,26
4375,2023-06-24T00:00:00,4,30,21,37,29,8,45,38
4377,2023-07-01T00:00:00,6,7,38,26,19,21,13,36
4379,2023-07-08T00:00:00,29,41,37,34,5,26,31,42
4381,2023-07-15T00:00:00,18,32,25,39,31,37,12,34
4383,2023-07-22T00:00:00,32,14,1,5,26,33,37,8
4385,2023-07-29T00:00:00,45,42,3,32,37,14,17,20
4387,2023-08-05T00:00:00,24,18,1,43,2,36,31,9
4389,2023-08-12T00:00:00,10,5,30,32,42,34,45,19
4391,2023-08-19T00:00:00,44,14,16,24,41,34,21,30
4393,2023-08-26T00:00:00,37,10,18,32,6,33,21,23
4395,2023-09-02T00:00:00,9,37,32,41,40,16,26,30
4397,2023-09-09T00:00:00,11,9,14,29,7,15,17,23
4399,2023-09-16T00:00:00,37,28,27,11,41,23,2,1
4401,2023-09-23T00:00:00,13,16,21,29,45,4,11,6
4403,2023-09-30T00:00:00,20,45,43,27,6,29,36,9
4405,2023-10-07T00:00:00,18,23,25,37,28,35,16,8
4407,2023-10-14T00:00:00,38,7,23,10,24,11,4,14
4409,2023-10-21T00:00:00,30,29,7,2,31,12,9,33
4411,2023-10-28T00:00:00,30,13,12,14,18,35,43,2
4413,2023-11-04T00:00:00,14,5,34,15,42,1,45,40
4415,2023-11-11T00:00:00,2,1,30,28,24,23,39,29
4417,2023-11-18T00:00:00,8,7,26,31,16,15,44,6
4419,2023-11-25T00:00:00,30,36,17,37,44,20,4,19
4421,2023-12-02T00:00:00,22,42,10,23,21,14,11,7
4423,2023-12-09T00:00:00,11,44,9,25,33,32,2,20
4425,2023-12-16T00:00:00,12,39,13,8,17,41,27,32
4427,2023-12-23T00:00:00,20,37,24,1,39,31,19,41
4429,2023-12-30T00:00:00,39,38,3,2,11,23,22,35
4431,2024-01-06T00:00:00,17,12,36,42,13,34,41,38
4433,2024-01-13T00:00:00,41,33,40,39,8,37,35,2
4435,2024-01-20T00:00:00,35,37,11,22,27,33,8,1
4437,2024-01-27T00:00:00,8,36,29,24,5,13,40,15
4439,2024-02-03T00:00:00,23,11,29,3,19,22,30,20
4441,2024-02-10T00:00:00,42,2,12,13,1,20,15,3
4443,2024-02-17T00:00:00,22,11,34,28,25,7,32,35
4445,2024-02-24T00:00:00,26,38,42,16,17,39,32,37
4447,2024-03-02T00:00:00,19,15,18,30,5,8,7,26
4449,2024-03-09T00:00:00,11,25,17,3,2,31,15,24
4451,2024-03-16T00:00:00,44,40,35,17,28,3,26,33
4453,2024-03-23T00:00:00,12,17,1,32,16,19,27,34
4455,2024-03-30T00:00:00,44,42,43,15,12,9,18,36
